dia;boletas_m;dinero_m;boletas_b;dinero_b
7;2;5090;25;270030
8;0;0;76;672010
9;0;0;62;716240
10;0;0;47;607950
11;7;74440;60;556880
12;4;29970;81;580300
13;4;41980;51;471500
14;5;49250;72;523990
15;3;44990;80;548840
16;0;0;3;15990
17;0;0;11;135920
18;10;61330;28;240610
19;9;72970;21;108200
20;9;72970;21;108200
21;5;69990;35;282900
22;10;102480;41;326320
23;0;0;14;81540
24;0;0;14;155900
25;12;96930;33;229480
26;13;170990;23;141860
27;5;54970;38;222079
28;4;32990;34;289860
29;8;104990;21;106930
30;0;0;34;227720
31;0;0;35;242100
